Epoch,Train Loss,Training Time (s/epoch),Valid Score,Evaluation Time (s/epoch),Hit@10,Hit@20,NDCG@10,NDCG@20,MRR@10,MRR@20,Total GPU Memory (GB)
0,502.6616,9.68,0.0061,0.74,0.0121,0.0224,0.0061,0.0087,0.0043,0.005,15.59
1,470.14,9.62,0.0173,0.75,0.0361,0.0552,0.0173,0.0221,0.0117,0.013,15.59
2,441.9973,9.62,0.0253,0.75,0.0497,0.0745,0.0253,0.0316,0.0179,0.0197,15.59
3,420.1832,9.63,0.0325,0.7,0.0647,0.0945,0.0325,0.0399,0.0228,0.0248,15.59
4,405.1695,9.62,0.0373,0.72,0.0733,0.1071,0.0373,0.0458,0.0264,0.0287,15.59
5,393.1818,9.63,0.0417,0.74,0.0814,0.1189,0.0417,0.0511,0.0296,0.0322,15.59
6,382.9436,9.63,0.0454,0.75,0.0867,0.1233,0.0454,0.0547,0.0329,0.0354,15.59
7,373.7955,9.64,0.0476,0.75,0.0917,0.1287,0.0476,0.0569,0.0341,0.0367,15.59
8,365.6133,9.64,0.0495,0.74,0.0955,0.1343,0.0495,0.0592,0.0354,0.038,15.59
9,357.9576,9.63,0.0502,0.75,0.0982,0.1379,0.0502,0.0602,0.0355,0.0383,15.59
