Epoch,Train Loss,Training Time (s/epoch),Valid Score,Evaluation Time (s/epoch),Hit@10,Hit@20,NDCG@10,NDCG@20,MRR@10,MRR@20,Total GPU Memory (GB)
0,502.6616,9.68,0.0061,0.73,0.0121,0.0224,0.0061,0.0087,0.0043,0.005,15.57
1,470.14,9.61,0.0173,0.77,0.0361,0.0552,0.0173,0.0221,0.0117,0.013,15.57
2,441.9973,9.62,0.0253,0.76,0.0497,0.0745,0.0253,0.0316,0.0179,0.0197,15.57
3,420.1832,9.63,0.0325,0.78,0.0647,0.0945,0.0325,0.0399,0.0228,0.0248,15.57
4,405.1695,9.63,0.0373,0.73,0.0733,0.1071,0.0373,0.0458,0.0264,0.0287,15.57
5,393.1818,9.63,0.0417,0.75,0.0814,0.1189,0.0417,0.0511,0.0296,0.0322,15.57
6,382.9436,9.64,0.0454,0.73,0.0867,0.1233,0.0454,0.0547,0.0329,0.0354,15.57
7,373.7955,9.63,0.0476,0.75,0.0917,0.1287,0.0476,0.0569,0.0341,0.0367,15.57
8,365.6133,9.63,0.0495,0.75,0.0955,0.1343,0.0495,0.0592,0.0354,0.038,15.57
9,357.9576,9.63,0.0502,0.75,0.0982,0.1379,0.0502,0.0602,0.0355,0.0383,15.57
10,351.1125,9.63,0.0514,0.76,0.1018,0.1416,0.0514,0.0614,0.0359,0.0387,15.57
11,344.9317,9.63,0.0515,0.75,0.102,0.1428,0.0515,0.0618,0.036,0.0388,15.57
12,339.3074,9.63,0.0522,0.75,0.1035,0.147,0.0522,0.0632,0.0365,0.0394,15.57
13,334.1671,9.63,0.0529,0.75,0.1068,0.146,0.0529,0.0628,0.0364,0.0391,15.57
14,329.6169,9.64,0.0523,0.73,0.1052,0.1466,0.0523,0.0627,0.036,0.0388,15.57
15,325.4598,9.64,0.0522,0.76,0.1049,0.1466,0.0522,0.0627,0.0359,0.0388,15.57
16,321.4076,9.66,0.0528,0.75,0.1063,0.1483,0.0528,0.0634,0.0363,0.0392,15.57
17,318.399,9.65,0.0531,0.75,0.1068,0.1472,0.0531,0.0632,0.0365,0.0393,15.57
18,315.4293,9.64,0.0528,0.79,0.1066,0.1485,0.0528,0.0633,0.0362,0.039,15.57
19,312.5111,9.65,0.0533,0.72,0.1076,0.1474,0.0533,0.0633,0.0365,0.0392,15.57
20,310.2602,9.66,0.0534,0.71,0.107,0.1468,0.0534,0.0634,0.0368,0.0396,15.57
21,307.8817,9.65,0.0528,0.74,0.1061,0.1461,0.0528,0.0629,0.0364,0.0391,15.57
22,305.5895,9.65,0.0535,0.75,0.1064,0.147,0.0535,0.0637,0.0372,0.04,15.57
23,303.4047,9.65,0.0533,0.73,0.1054,0.1464,0.0533,0.0636,0.0372,0.04,15.57
24,301.5524,9.65,0.0535,0.75,0.1057,0.1468,0.0535,0.0639,0.0374,0.0402,15.57
25,299.5618,9.65,0.0532,0.73,0.1048,0.1465,0.0532,0.0638,0.0373,0.0402,15.57
26,297.8845,9.66,0.053,0.75,0.1052,0.1443,0.053,0.0629,0.037,0.0397,15.57
27,296.3622,9.65,0.0525,0.74,0.1031,0.145,0.0525,0.0631,0.0369,0.0398,15.57
28,294.3977,9.66,0.053,0.75,0.1038,0.145,0.053,0.0634,0.0374,0.0402,15.57
29,292.4665,9.66,0.0531,0.75,0.1036,0.1437,0.0531,0.0632,0.0375,0.0403,15.57
30,291.2339,9.66,0.0529,0.74,0.1022,0.1446,0.0529,0.0636,0.0377,0.0406,15.57
31,289.6847,9.74,0.0526,0.75,0.1011,0.1425,0.0526,0.063,0.0376,0.0404,15.57
32,288.1836,9.69,0.0528,0.71,0.1025,0.1435,0.0528,0.0632,0.0376,0.0404,15.57
33,286.6424,9.64,0.0527,0.76,0.1015,0.1416,0.0527,0.0628,0.0377,0.0404,15.57
34,285.5306,9.65,0.0524,0.75,0.0994,0.1396,0.0524,0.0625,0.0378,0.0406,15.57
35,284.0432,9.64,0.0526,0.74,0.1004,0.1411,0.0526,0.0629,0.0379,0.0407,15.57
